home,Host,Home_Goals,Host_Golas,FirstPart,SecondPart,ThirthPart,Prodlouzeni,Najezdy,Date,Home_P1,Home_P2,Home_P3,Host_P1,Host_P2,Host_P3
Edmonton Oilers,St. Louis Blues,6,5,4|1,1|2,0|2,1|0,,02.04. 03:00Po prodl.,4,1,0,1,2,2
Detroit Red Wings,Ottawa Senators,2,5,0|1,1|0,1|4,,,02.04. 01:30,0,1,1,1,0,4
Buffalo Sabres,Nashville Predators,4,3,3|3,1|0,0|0,,,02.04. 01:00,3,1,0,3,0,0
New York Rangers,New York Islanders,0,3,0|1,0|1,0|1,,,02.04. 01:00,0,0,0,1,1,1
Tampa Bay Lightning,Chicago Blackhawks,5,2,2|2,2|0,1|0,,,02.04. 01:00,2,2,1,2,0,0
Anaheim Ducks,Dallas Stars,2,3,0|1,1|0,1|1,0|1,,01.04. 04:00Po prodl.,0,1,1,1,0,1
Calgary Flames,Los Angeles Kings,2,3,0|0,0|1,2|1,0|0,0|1,01.04. 03:05Po náj.,0,0,2,0,1,1
Colorado Avalanche,San Jose Sharks,4,2,0|0,1|1,3|1,,,01.04. 03:05,0,1,3,0,1,1
Minnesota Wild,Pittsburgh Penguins,3,4,1|1,1|2,1|0,0|1,,01.04. 02:05Po prodl.,1,1,1,1,2,0
Carolina Hurricanes,Montreal Canadiens,4,0,2|0,1|0,1|0,,,01.04. 01:05,2,1,1,0,0,0
Boston Bruins,New Jersey Devils,8,1,2|1,6|0,0|0,,,01.04. 01:00,2,6,0,1,0,0
Florida Panthers,Chicago Blackhawks,4,0,1|0,2|0,1|0,,,01.04. 01:00,1,2,1,0,0,0
New York Islanders,Columbus Blue Jackets,5,2,2|0,0|2,3|0,,,01.04. 01:00,2,0,3,0,2,0
Toronto Maple Leafs,Winnipeg Jets,7,3,1|2,4|1,2|0,,,01.04. 01:00,1,4,2,2,1,0
Arizona Coyotes,San Jose Sharks,5,2,1|1,1|1,3|0,,,31.03. 04:00,1,1,3,1,1,0
Seattle Kraken,Vegas Golden Knights,0,3,0|0,0|1,0|2,,,31.03. 04:00,0,0,0,0,1,2
Vancouver Canucks,St. Louis Blues,3,4,0|0,2|3,1|1,,,31.03. 04:00,0,2,1,0,3,1
Edmonton Oilers,Los Angeles Kings,4,3,2|1,1|2,0|0,0|0,2|0,31.03. 03:30Po náj.,2,1,0,1,2,0
Detroit Red Wings,New York Rangers,4,5,2|2,1|1,1|1,0|1,,31.03. 01:30Po prodl.,2,1,1,2,1,1
Buffalo Sabres,Winnipeg Jets,2,3,1|0,1|2,0|0,0|0,2|3,31.03. 01:00Po náj.,1,1,0,0,2,0
Anaheim Ducks,Dallas Stars,2,3,0|1,2|0,0|2,,,30.03. 04:00,0,2,0,1,0,2
Calgary Flames,Colorado Avalanche,1,2,0|0,1|1,0|1,,,30.03. 03:00,0,1,0,0,1,1
Minnesota Wild,Philadelphia Flyers,4,1,2|0,2|0,0|1,,,30.03. 02:00,2,2,0,0,0,1
Nashville Predators,Ottawa Senators,4,1,1|1,1|0,2|0,,,30.03. 02:00,1,1,2,1,0,0
Boston Bruins,Toronto Maple Leafs,4,6,1|3,1|3,2|0,,,30.03. 01:00,1,1,2,3,3,0
Columbus Blue Jackets,New York Islanders,3,4,1|2,1|2,1|0,,,30.03. 01:00,1,1,1,2,2,0
Florida Panthers,Montreal Canadiens,7,4,2|1,2|3,3|0,,,30.03. 01:00,2,2,3,1,3,0
Pittsburgh Penguins,New York Rangers,2,3,1|0,0|2,1|1,,,30.03. 01:00,1,0,1,0,2,1
Tampa Bay Lightning,Carolina Hurricanes,4,3,0|1,2|2,1|0,1|0,,30.03. 01:00Po prodl.,0,2,1,1,2,0
Los Angeles Kings,Seattle Kraken,1,6,1|2,0|1,0|3,,,29.03. 04:30,1,0,0,2,1,3
Edmonton Oilers,Arizona Coyotes,6,1,2|1,3|0,1|0,,,29.03. 03:30,2,3,1,1,0,0
Chicago Blackhawks,Buffalo Sabres,5,6,3|0,1|3,1|3,,,29.03. 02:30,3,1,1,0,3,3
St. Louis Blues,Vancouver Canucks,4,1,2|0,0|0,2|1,,,29.03. 01:30,2,0,2,0,0,1
Washington Capitals,Carolina Hurricanes,1,6,0|2,1|3,0|1,,,29.03. 01:00,0,1,0,2,3,1
New Jersey Devils,Montreal Canadiens,3,2,1|0,1|1,0|1,0|0,4|3,28.03. 01:00Po náj.,1,1,0,0,1,1
Toronto Maple Leafs,Florida Panthers,5,2,1|1,2|1,2|0,,,28.03. 01:00,1,2,2,1,1,0
Winnipeg Jets,Arizona Coyotes,2,1,1|0,0|0,0|1,1|0,,28.03. 01:00Po prodl.,1,0,0,0,0,1
New York Rangers,Buffalo Sabres,5,4,2|1,1|2,1|1,1|0,,27.03. 23:00Po prodl.,2,1,1,1,2,1
Pittsburgh Penguins,Detroit Red Wings,11,2,2|0,5|2,4|0,,,27.03. 23:00,2,5,4,0,2,0
New York Islanders,Tampa Bay Lightning,1,4,1|0,0|2,0|2,,,27.03. 20:00,1,0,0,0,2,2
Los Angeles Kings,Seattle Kraken,4,2,1|0,2|1,1|1,,,27.03. 04:30,1,2,1,0,1,1
San Jose Sharks,Anaheim Ducks,4,1,1|0,1|0,2|1,,,27.03. 04:30,1,1,2,0,0,1
Calgary Flames,Edmonton Oilers,9,5,3|2,3|3,3|0,,,27.03. 04:00,3,3,3,2,3,0
Minnesota Wild,Columbus Blue Jackets,3,2,1|0,0|2,1|0,1|0,,27.03. 01:00Po prodl.,1,0,1,0,2,0
St. Louis Blues,Carolina Hurricanes,2,7,0|1,1|3,1|3,,,27.03. 01:00,0,1,1,1,3,3
Dallas Stars,Vancouver Canucks,1,4,0|0,1|1,0|3,,,27.03. 00:00,0,1,0,0,1,3
Montreal Canadiens,Toronto Maple Leafs,4,2,0|1,2|0,2|1,,,27.03. 00:00,0,2,2,1,0,1
Ottawa Senators,Florida Panthers,3,4,2|0,1|2,0|1,0|0,0|1,27.03. 00:00Po náj.,2,1,0,0,2,1
Washington Capitals,New Jersey Devils,4,3,0|0,1|2,3|1,,,27.03. 00:00,0,1,3,0,2,1
